date,city,scenario,temperature_f,precip_mm
1874-09,San Diego,ssp126,60.49,0.6057
1874-10,San Diego,ssp126,60.61,0.8613
1874-11,San Diego,ssp126,60.55,0.7381
1874-12,San Diego,ssp126,60.6,0.6712
1875-01,San Diego,ssp126,60.7,0.6726
1875-02,San Diego,ssp126,60.6,0.6738
1875-03,San Diego,ssp126,60.68,0.6742
1875-04,San Diego,ssp126,61.01,0.7219
1875-05,San Diego,ssp126,61.38,0.8878
1875-06,San Diego,ssp126,61.38,0.9091
1875-07,San Diego,ssp126,61.56,0.7658
1875-08,San Diego,ssp126,61.56,0.802
1875-09,San Diego,ssp126,61.51,0.8308
1875-10,San Diego,ssp126,61.15,0.6588
1875-11,San Diego,ssp126,61.42,0.6794
1875-12,San Diego,ssp126,61.2,0.6719
1876-01,San Diego,ssp126,61.15,0.6677
1876-02,San Diego,ssp126,61.59,0.6648
1876-03,San Diego,ssp126,61.47,0.6639
1876-04,San Diego,ssp126,61.66,0.9814
1876-05,San Diego,ssp126,61.98,0.7883
1876-06,San Diego,ssp126,62.46,0.8842
1876-07,San Diego,ssp126,62.63,0.8182
1876-08,San Diego,ssp126,63.34,0.8185
1876-09,San Diego,ssp126,62.94,0.8704
1876-10,San Diego,ssp126,63.18,0.8075
1876-11,San Diego,ssp126,63.18,0.7604
1876-12,San Diego,ssp126,63.48,0.7566
1877-01,San Diego,ssp126,63.33,0.7616
1877-02,San Diego,ssp126,63.24,0.7606
1877-03,San Diego,ssp126,63.34,0.7599
1877-04,San Diego,ssp126,63.15,0.3644
1877-05,San Diego,ssp126,62.69,0.3735
1877-06,San Diego,ssp126,62.14,0.3326
1877-07,San Diego,ssp126,61.92,0.4814
1877-08,San Diego,ssp126,61.07,0.7493
1877-09,San Diego,ssp126,61.09,0.9782
1877-10,San Diego,ssp126,61.09,1.1614
1877-11,San Diego,ssp126,60.67,1.2389
1877-12,San Diego,ssp126,60.22,1.3796
1878-01,San Diego,ssp126,60.24,1.4063
1878-02,San Diego,ssp126,60.11,1.4086
1878-03,San Diego,ssp126,59.92,1.4095
1878-04,San Diego,ssp126,59.76,1.5445
1878-05,San Diego,ssp126,59.55,1.5487
1878-06,San Diego,ssp126,59.63,1.6008
1878-07,San Diego,ssp126,59.69,1.8847
1878-08,San Diego,ssp126,60.18,1.8357
1878-09,San Diego,ssp126,60.22,1.5442
1878-10,San Diego,ssp126,60.27,1.3993
1878-11,San Diego,ssp126,60.37,1.4602
1878-12,San Diego,ssp126,60.76,1.3285
1879-01,San Diego,ssp126,60.76,1.2996
1879-02,San Diego,ssp126,61.05,1.2983
1879-03,San Diego,ssp126,61.25,1.2984
1879-04,San Diego,ssp126,61.6,1.1661
1879-05,San Diego,ssp126,61.44,1.2658
1879-06,San Diego,ssp126,61.22,1.3368
1879-07,San Diego,ssp126,61.2,1.0146
1879-08,San Diego,ssp126,60.81,0.9924
1879-09,San Diego,ssp126,60.6,1.0127
1879-10,San Diego,ssp126,60.36,1.082
1879-11,San Diego,ssp126,60.68,0.9378
1879-12,San Diego,ssp126,60.51,0.9608
1880-01,San Diego,ssp126,60.87,0.9574
1880-02,San Diego,ssp126,60.54,0.9576
1880-03,San Diego,ssp126,60.42,0.9583
1880-04,San Diego,ssp126,60.41,0.9566
1880-05,San Diego,ssp126,60.97,0.8614
1880-06,San Diego,ssp126,61.31,0.8005
1880-07,San Diego,ssp126,61.38,0.7176
1880-08,San Diego,ssp126,61.78,0.5181
1880-09,San Diego,ssp126,61.92,0.558
1880-10,San Diego,ssp126,62.04,0.5327
1880-11,San Diego,ssp126,61.79,0.6438
1880-12,San Diego,ssp126,62.2,0.6333
1881-01,San Diego,ssp126,61.99,0.6364
1881-02,San Diego,ssp126,61.96,0.6388
1881-03,San Diego,ssp126,61.66,0.7075
1881-04,San Diego,ssp126,61.32,0.7092
1881-05,San Diego,ssp126,61.13,0.7615
1881-06,San Diego,ssp126,60.98,0.7036
1881-07,San Diego,ssp126,61.11,0.7659
1881-08,San Diego,ssp126,61.12,0.7269
1881-09,San Diego,ssp126,61.32,0.6365
